,question,label
0,List two reference parameters in the setHour function,1
1,"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",1
2,Label the parts of the diagram,1
3,"Based on the above dataType class, list all the function members",1
4,Define morphology,1
5,Define Method in JAVA.,1
6,Define Inheritance concept,1
7,What is Encapsulation ?,1
8,Name the authors of...?,1
9,List the fractions you know and can show….,1
10,List the __________________ in descending order,1
11,List the attributes of the following shape.,1
12,List two local variables in the main function,1
13,List the data members,1
14,List important information you can remember from lesson….,1
15,Make a list of the main events of the story.,1
16,Memorize and recall the periodic table,1
17,Memorize the multiplication facts,1
18,Memorize the meaning of …,1
19,Name three 19th-century women English authors.,1
20,Name all the characters in the story.,1
21,Name five cities in US.,1
22,Recall the main components of the flowchart,1
23,Recall four facts from the story,1
24,What do you recall ...?,1
25,What is the definition of the following terms…,1
26,About what proportion of the population of the US is living on farms?,1
27,Correctly label the brain lobes indicated on the diagram below,1
28,Define compound interest.,1
29,Define four types of traceability.,1
30,Define mercantilism.,1
31,"Define stream bank, floodplain and substrate.",1
32,Define the meaning of the Olympic Motto.,1
33,Draw and label a diagram of a typical stream.,1
34,Draw the basic outline of a page of notes using the Cornell Method?,1
35,Draw the block diagram of the central processing unit,1
36,Draw the flow chart of the PNK system,1
37,How many instructions in the instruction set of RISC computer?,1
38,How many kilometers from your home to the university,1
39,How many loop statement available in c++?,1
40,How many states are there in USA,1
41,How many years does this animal live?,1
42,How much data can be stored in the cach memory,1
43,How much did he pay for his car,1
44,How much is your weight,1
45,How much time did he took to build a house,1
46,How much water does an elephant drink,1
47,Identify a phrase as a simile,1
48,"Identify a property (commutative, additive, etc(",1
49,Identify fractions from a pictorial representation,1
50,Identify ordinal positions,1
51,Identify the correct definition of osmosis.,1
52,Identify the five major prophets of the Old Testament.,1
53,Identify the part of a eukaryotic cell.,1
54,Identify the standard peripheral components of a computer.,1
55,Identify which word begins with the same sound as the s in sun (Knowledge of letter s),1
56,in which continent does the state of suriname fall,1
57,in which countries is arabic language spoken,1
58,In Which part of the world does he live,1
59,Label any Olympic sporting apparatus with design features.,1
60,Label the parts of the following insects: Grasshopper,1
61,Label the parts of the microscope shown on the right,1
62,List four types of clauses mentioned in the article,1
63,List reserved words in C programming.,1
64,List the characteristics peculiar to the Cubist movement.,1
65,List the levels in Bloom's Taxonomy.,1
66,List the procedure to draw a mixed potential or Evans' diagram,1
67,List the steps involved in titration.,1
68,List three characteristics that are unique to the Cubist movement.,1
69,List three predominant economic systems that exist,1
70,Look at the symbol. What is the symbol’s purpose on a map?,1
71,Make a list of facts you learned from the story.,1
72,Name 5 steps that follow the taking of notes (within hours or less)?,1
73,Name the artist who painted the Mona Lisa.,1
74,Name the food groups and at least two items of food in each group.,1
75,Name the four major food groups.,1
76,Name the main characters in the story.,1
77,Name the property that states that,1
78,Please label the diagram below:,1
79,Recall basic math facts,1
80,Recall locations of a historical events,1
81,Recall the definition of the formula datatype from your assignment 2.,1
82,Recall the equation for the Ideal Gas Law.,1
83,Recall the following pictoral example of an implementation of some queue operations,1
84,recall the supply voltage constraints,1
