,question,label
0,What is habeas corpus ?,1
1,What is bangers and mash ?,1
2,What is the half-life of P-32 ?,1
3,What does the name Jenna mean ?,1
4,What is the feudal system ?,1
5,What are polymers ?,1
6,"What are Cobol , Fortran , and Pascal ?",1
7,What are bear and bull markets ?,1
8,What is a Cartesian Diver ?,1
9,What does the word `` opera '' mean ?,1
10,What are Fortune 500 companies ?,1
11,What does Las Vegas mean ?,1
12,What is the `` fourth dimension '' ?,1
13,What is pneumonia ?,1
14,What is the Home Rule Act ?,1
15,What is Boston Kreme ?,1
16,What does `` E Pluribus Unum '' on the penny mean ?,1
17,What is Srpska Krajina ?,1
18,What is the theory of equivalence states ?,1
19,What does `` Semper Fidelis '' mean ?,1
20,What is making love ?,1
21,"What does the Greek word polis mean , as in Minneapolis ?",1
22,What is La Nina ?,1
23,What is a heuristic ?,1
24,What is thalassemia ?,1
25,What is a green bog ?,1
26,What is the contents of proposition 98 ?,1
27,What is cryptography ?,1
28,What is a wart ?,1
29,What is metabolism ?,1
30,What does the number 33 on the Rolling Rock beer bottle mean ?,1
31,What is titanium ?,1
32,What is the Milky Way ?,1
33,What is the chunnel ?,1
34,What is Valentine 's Day ?,1
35,What is an annuity ?,1
36,What is a Guild ?,1
37,What is the HIGHEST Roman numeral ?,1
38,What is an antigen ?,1
39,What 's the meaning of the name Tatiana ?,1
40,What is a thermometer ?,1
41,What is hydrogen ?,1
42,What is neurology ?,1
43,What is graduate school ?,1
44,What is a multiplexer ?,1
45,What is cerebral palsy ?,1
46,Define the Pheonix Club ?,1
47,What is the Order of the Arrow in Boy Scouts ?,1
48,What are triglycerides ?,1
49,What is home equity ?,1
50,What is a transistor ?,1
51,What is cunnilingus ?,1
52,Define cosmology .,1
53,What is a hormone ?,1
54,What is vertigo ?,1
55,What does camera-ready art mean ?,1
56,What does the name ` Alexandra ' mean ?,1
57,What is an ecological niche ?,1
58,What is an earthquake ?,1
59,What is lung cancer ?,1
60,What was the filling in the first golf balls ?,1
61,What is `` snoogans '' ?,1
62,What is a philanthropist ?,1
63,What is ouzo ?,1
64,What is a serigraph ?,1
65,What does `` extended definition '' mean and how would one write a paper on it ?,1
66,What is `` flintknapping '' ?,1
67,What does `` intractable plantar keratoma '' mean ?,1
68,What are pediatricians ?,1
69,What is fungus ?,1
70,What is a caldera ?,1
71,What is the Socratic method ?,1
72,What 's a `` coup de poing '' to a French boxer ?,1
73,What does verdandi mean ?,1
74,What is an aortic abdominal aneurysm ?,1
75,What is the Lost Colony ?,1
76,What is typhoid fever ?,1
77,What are amaretto biscuits ?,1
78,What is a meerkat ?,1
79,What is dianetics ?,1
80,What is a thyroid ?,1
81,What does the term `` spaghetti western '' mean ?,1
82,What are enzymes ?,1
83,What is dew point ?,1
84,What is a caul ?,1
85,What are solar cells ?,1
86,What is Tetrinet ?,1
87,What is porphyria ?,1
88,What are boxcars ?,1
89,What is a drought ?,1
90,What is the nature of learning ?,1
91,What is a nanometer ?,1
92,What is a Canada two-penny black ?,1
93,What does appropriates money mean ?,1
94,What are pomegranates ?,1
95,What is goulash ?,1
96,What else has the swastika stood for ?,1
97,What is a cullion ?,1
98,What are amicable numbers ?,1
99,What is Sinn Fein ?,1
100,What was the Vietnam War ?,1
101,What is a micron ?,1
102,What are xerophytes ?,1
103,What is Occam 's Razor ?,1
104,What is `` Chicago Hope '' ?,1
105,What is a biosphere ?,1
106,What 's an auberge in France ?,1
107,What is Australia Day ?,1
