,question,label
480,investigate pointwise convergence absolute convergence given series function,4
291,draw picture bear house,3
424,how doescomparecontrast,4
174,explain word what meant mercantilism,2
135,explain one sentence what method incfromn doe,2
218,state word where library find previous issue journal longer display rack,2
28,define compound interest,1
344,what would result,3
604,write short story relating personal experience style picaresque novel,5
450,differentiate following term along appropriate example,4
136,how would explain,2
550,design make animal move,5
6,define inheritance concept,1
331,sketch blackbody curve radiation emitted sun earth,3
73,name artist who painted mona lisa,1
485,how would differentiate heterodox mainstream,4
469,inspect pattern gps position relative known published value,4
145,state one word,2
443,what way trajectory pattern differ according abc,4
567,how clause expression given article which replace goto statement lead three traditional control statement,5
132,explain how heart like pump,2
329,would information useful,3
621,dont use public instance variable defensive programming technique discus why good advice,6
692,how effective,6
41,how many year doe animal live,1
108,what title first movie saw,1
381,what ha author used create effect,4
56,which continent doe state suriname fall,1
500,rewrite story animal point view,5
296,note available professor website how note used,3
589,structure sort list ascending order display list screen store list,5
548,design poster book,5
409,compare two dog food commercial what difference how sell product,4
24,what recall,1
544,design building according given specification,5
211,rewrite principle test writing,2
658,construct poster advertise new food product exciting irresistible way,6
324,use distance travelled cost petrol calculate cost coach trip using spreadsheet,3
300,make scrapbook area study,3
110,when saudi arabia start using internet,1
82,recall equation ideal gas law,1
51,identify correct definition osmosis,1
411,conduct investigation produce information support view,4
594,what solution would suggest,5
515,devise different way using x,5
302,model olympic village new millenium,3
355,construct analog circuit following specification,3
338,use sketch find exact value expression,3
139,how would classify type,2
281,construct model demonstrate how work,3
449,how differentiate interview interrogation,4
18,memorize meaning,1
539,create set guideline determine point plant susceptible localized corrosion,5
140,how explain what meant,2
299,make papermache map include relevant information event,3
494,design building house study,5
83,recall following pictoral example implementation queue operation,1
61,label part microscope shown right,1
215,rewrite part poem using different speaker,2
436,what part feature,4
29,define four type traceability,1
244,explain whole method crushing,2
558,devise new economic system based one already exist,5
447,how doe endorsement differ teaching certificate,4
382,compare contrast two item produce summary similarity difference,4
182,express opinion drug sport poetry,2
618,ass value importance,6
259,write c statement declare variable type musictype name mytune,3
426,how wa life different town year ago,4
361,show how ecrm used improve marketing positioning explained article,3
398,compare contrast animal class ha made,4
352,how construct optimal maintenance problem,3
448,how differentiate genuine buyer undercover buyer,4
209,restate olympic motto word,2
428,how would story different happened different country,4
420,explain term conjugal family making reference different type society which could belong,4
176,explain communicative property,2
495,design record book magazine cover,5
306,relate principle reinforcement classroom interaction,3
724,what important,6
541,create equation represent solution problem,5
264,apply law statistic evaluate reliability written test,3
137,how would express,2
235,translate following passage iliad english,2
693,how would decide,6
655,choose paint schedule maintenance outdoor structure level 2,6
163,describe how linear polarization method yield corrosion rate,2
591,using information book one main character rewrite ending book,5
650,ass relative effectiveness different graphical representation data biological concept,6
503,what hypothesis develop based data why,5
607,how combine result various individual test determine whether student progress next semester phase year,5
635,what would cite defend action,6
319,how doe one specify syntactical restriction,3
342,what happens change direction displacement size,3
470,how doe agency inspect expectation operator,4
104,what family name,1
114,when wa first airport yemen built,1
665,decide which course action wa effective,6
721,what criterion would use ass,6
664,decide which candidate would best fill position principal,6
423,how doe pet differ animal,4
92,state definition application bloom taxonomy,1
7,what encapsulation,1
89,state four attribute well engineered software,1
735,what think best thing coming viestal,6
367,analyze following questionnaire,4
439,how distinguish bingeeatingpurging type anorexia nervosa bulimia nervosa purging type,4
701,judge value,6
416,distinguish micro macro economics,4
499,propose set alternative reducing dependence fossil fuel address economic environmental concern,5
11,list attribute following shape,1
43,how much pay car,1
42,how much data stored cach memory,1
167,determine author point view,2
648,ass appropriateness author conclusion based evidence given,6
349,how construct h given b e,3
178,explain possible us described class space left vertical line,2
731,estimate risk serious illness consumer different susceptible population group,6
483,what investigate problem,4
177,explain double meaning author attribute term successive action description,2
703,judge whether olympic ideal realistic unrealistic contemporary elite athlete,6
516,merge different idea single solution,5
257,write what might done,3
537,create new product give name plan marketing campaign,5
15,make list main event story,1
440,how doe tdap differ td vaccine,4
256,write textbook topic others,3
314,use laplace solve following problem,3
332,sketch typical absorption process packed column regeneration form,3
525,combine two sport develop new olympic sport,5
408,compare three celebration using venn diagram,4
557,develop one plausible ending three short story,5
477,contrast valles marineris mar grand canyon,4
390,analyze problem identifying variable,4
9,list fraction know show,1
249,design sketch marketing strategy product using known strategy model,3
22,recall main component flowchart,1
221,summarize historical document,2
570,how would change story create different ending,5
725,which following action would probably least effective determining answer,6
388,analyze characteristic frog,4
619,what limitation doe x,6
203,classify following substance particle atom element molecule compound,2
464,inspect boolean expression determine whether one sum product product sum,4
93,state formula area circle,1
340,what happens restrict determinental process subset r,3
493,design scientific study test effect different kind music hen egg production,5
434,select athlete century analyze why chose person,4
284,demonstrate using opac knowledge library organization find book turtle,3
184,given graph production trend automobile describe what graph represents memo bos,2
598,why compose song,5
486,how differentiate deceive cheat,4
153,describe how phillip timothy survived cay,2
75,name four major food group,1
684,explain justify new budget,6
277,choose country doe compete olympics explain why country olympic member,3
68,list three characteristic unique cubist movement,1
551,design costume character,5
188,one sentence explain main idea written passage,2
271,calculate deflection beam uniform loading,3
236,use eph pourbaix diagram cr determine control current potential anodic protection sstainless steel vessel,2
88,recite gaussian law,1
628,prepare case present evaluate view,6
117,which following item doe belong set,1
125,who wa writer hamilton,1
608,how combine abstract fact software system create new knowledge,5
289,construct simple payroll program computes net pay working hour le net pay working hour,3
238,briefly compare way testing satisfiability standard way using sld resolution prolog,2
0,list two reference parameter sethour function,1
732,estimate expenditure hivaids education,6
326,what factor would change,3
645,appraise speech effectiveness based upon class criterion,6
668,defend use specific strategy solving problem,6
278,choose u president explain how exercised power commander chief armed force,3
597,why dont devise way deal,5
116,which following method determining volume cylinder,1
228,tell word how setting story made interesting,2
357,how construct agent deliver good assistance,3
371,discriminate different part story introduction development climax resolution,4
274,apply method used experience,3
318,specify thickness galvanized coating based atmospheric data level 2,3
507,write poem story,5
144,state word,2
569,how would usa different south civil war,5
433,make diagnosis analyze case study,4
669,describe economic consequence neolocal society support description information learned course,6
603,write set rule prevent what happened story,5
268,apply understanding olympic spirit develop new motto slogan,3
523,write new recipe tasty dish,5
307,relate topographic map field feature,3
310,show roleplay final scene novel,3
46,how much water doe elephant drink,1
261,write definition displaysize method class,3
195,paraphrase important speech,2
740,how think one reason making ethical decision business,6
620,develop proof justify step,6
107,what setting kill mockingbird,1
59,label olympic sporting apparatus design feature,1
554,develop plan new olympic bid system,5
375,trace content matrix following statement int matrix32int j kfor j j jfor k h k kmatrikjk j k,4
100,what representational symbol map chart,1
590,suppose phillip wasnt rescued shortly timothy death how long could survived,5
662,decide whether could survived island blind alone write thing would challenging making sure,6
538,create new song opening line mary little lamb,5
673,think good bad thing,6
179,explain process paraphrase finding perimeter rectangular garden,2
304,predict what happens x increase,3
481,how would investigate patient,4
606,write essay word india technological advancement use active voice much possible,5
712,select effective solution,6
149,compare calliope howie use word bank,2
124,who wa first compose art makamat,1
586,revise process improve outcome,5
643,solving problem determine degree which problem wa solved efficiently possible,6
185,given five corrosion inhibitor v w x z identify which passivators,2
719,what change would recommend,6
680,evaluate two internet source information egyptian which would better choice purpose why,6
399,compare contrast school community,4
730,estimate epicentral coordinate earthquake,6
468,distinguish pot still rum column still rum taste,4
321,take collection photograph demonstrate particular point,3
353,how construct simple solution when problem complex,3
682,evaluate peer essay term principle composition discussed semester,6
142,identify key point text,2
462,examine difference mean individual switching factor,4
141,draw flowchart accept number output factorialexample input 5 5x4x3x2x1 output 120,2
518,create new unusual us,5
320,specify deterministic finite automaton dfa recognizing,3
19,name three 19thcentury woman english author,1
172,explain word what recessive gene,2
602,write poem book,5
312,solve ten following fraction multiplication problem please make sure show work,3
688,given data weve looked topic evaluate how appropriate conclusion defend answer,6
12,list two local variable main function,1
305,pretend one character book write diary happening life two consecutive day,3
354,construct 4bit ripple carry adder circuit,3
25,what definition following term,1
552,design architecture software system based requirement defined software requirement specification document,5
169,discus nature socialism,2
38,how many kilometer home university,1
465,inspect size loaded data how many object variable doe iris data matrix contain,4
245,word how would summarize story,2
298,make diorama illustrate important event,3
616,how could develop coherent measure success organisation engaged type activity young people,5
641,designing experiment examining result drawing conclusion determines what way experiment could conducted effectively order draw productive conclusion future,6
272,calculate number sacrificial anode would required form calcareous deposit steel pile immersed seawater,3
670,design healthy menu think people would enjoy using healthy eating guide,6
154,describe prose what shown graph form,2
126,explain what happening what meant,2
527,compose class story,5
341,what would happen rainfall doubled state next year,3
287,describe experiment answer question effect weight fall object,3
113,when born,1
425,how similar,4
173,explain word what mean term economics,2
359,show how used creative writing strategy appropriate format,3
412,contrast building coastal zone building river floodplain,4
57,which country arabic language spoken,1
678,evaluate corrosion monitoring need chemical processing plant,6
222,summarize story word,2
280,compute volume cylinder,3
17,memorize multiplication fact,1
467,distinguish aged rum unaged rum smell,4
322,use costing model compute price good maximise profit minimise cost,3
255,predict what would happen,3
479,investigate whether system solved x z,4
613,devise systematic approach order get larger progression,5
710,recommend how classroom playground could improved,6
190,interpret picture,2
697,given clinical situation select reasonable intervention predict main effect possible side effect,6
654,defend position,6
429,how would distinguish polymyositis viral myositis 42yearold man weakness rash,4
94,state guideline design anodic protection system,1
180,explain what poem mean,2
301,make puzzle game using idea study area,3
490,propose model would change,5
545,design cost effective strategy generate reliable data,5
517,apply integrate several different strategy solve mathematical problem according one formula,5
514,construct alternative way,5
653,defend idea simon incident pig head mystical story,6
652,award contract best proposal rank principle good sportsmanship order importance,6
5,define method java,1
726,which two algorithm bubblesort quicksort efficient justify answer,6
45,how much time took build house,1
728,write list criterion judge willy rap,6
559,devise plan market make artwork valuable,5
171,explain one word how create query database,2
16,memorize recall periodic table,1
48,identify property commutative additive etc,1
716,using straight value depreciation decide two coppernickel alloy design heat exchanger,6
677,evaluate board game justify why rule important,6
3,based datatype class list function member,1
532,compose complete c program read text string text file suitable data,5
708,predict what happen next,6
316,how specify impact energy impact test temperature material code,3
705,justify title kill mockingbird,6
283,demonstrate how could work industry setting,3
96,state rule ball strike baseball,1
285,demonstrate how unit specific student learning outcome linked mission uam,3
704,justify nominate way prevent animal extinction,6
225,summarize basic tenet deconstructionism,2
26,what proportion population u living farm,1
582,plan research paper given historical topic,5
263,choose best statement apply,3
437,distinguish following giving suitable example,4
50,identify ordinal position,1
364,analyze selected information,4
229,tell word beginning book,2
37,how many instruction instruction set risc computer,1
157,describe word what happens when stream velocity slows,2
